2026-01-23T11:21:52.296Z INFO connected mqtts://meshrank.net:8883
2026-01-23T11:21:52.302Z INFO subscribed meshrank/observers/+/packets
2026-01-23T11:21:54.072Z MSG observer=881A3DB0CD34 rssi=-55 len=106
2026-01-23T11:21:55.925Z MSG observer=705254DAB734 rssi=-126 len=106
2026-01-23T11:21:57.980Z MSG observer=38090704A7AC rssi=-87 len=108
2026-01-23T11:21:59.326Z MSG observer=38090704A7AC rssi=-45 len=109
2026-01-23T11:23:10.634Z INFO connected mqtts://meshrank.net:8883
2026-01-23T11:23:10.644Z INFO subscribed meshrank/observers/+/packets
2026-01-23T11:23:11.200Z MSG observer=D0CDCCA0ED30 rssi=-121 len=27
2026-01-23T11:23:11.252Z MSG observer=74E0B643CA48 rssi=-112 len=43
2026-01-23T11:23:11.863Z MSG observer=74E0B643CA48 rssi=-111 len=41
2026-01-23T11:23:12.331Z MSG observer=74E0B643CA48 rssi=-112 len=44
2026-01-23T11:23:12.919Z MSG observer=74E0B643CA48 rssi=-34 len=44
2026-01-23T11:23:13.840Z MSG observer=D0CDCCA0ED30 rssi=-27 len=43
2026-01-23T11:23:13.926Z MSG observer=AC84779E9EF0 rssi=-19 len=43
2026-01-23T11:23:14.443Z MSG observer=D0CDCCA0ED30 rssi=-124 len=43
2026-01-23T11:23:15.060Z MSG observer=D0CDCCA0ED30 rssi=-121 len=43
2026-01-23T11:23:15.220Z MSG observer=94083E43CA48 rssi=-19 len=44
2026-01-23T11:23:15.228Z MSG observer=AC84779E9EF0 rssi=-114 len=44
2026-01-23T11:23:16.039Z MSG observer=D0CDCCA0ED30 rssi=-119 len=44
2026-01-23T11:23:16.403Z MSG observer=pad4651🧱 rssi=-50 len=45
2026-01-23T11:23:16.677Z MSG observer=D0CDCCA0ED30 rssi=-114 len=43
2026-01-23T11:23:17.510Z MSG observer=440551DB5110 rssi=-45 len=45
2026-01-23T11:23:17.715Z MSG observer=60AD64DAB734 rssi=-102 len=46
2026-01-23T11:23:17.823Z MSG observer=94083E43CA48 rssi=-72 len=45
2026-01-23T11:23:18.440Z MSG observer=60AD64DAB734 rssi=-37 len=46
2026-01-23T11:23:21.329Z MSG observer=881A3DB0CD34 rssi=-56 len=41
2026-01-23T11:23:22.131Z MSG observer=705254DAB734 rssi=-116 len=42
2026-01-23T11:23:23.819Z MSG observer=38090704A7AC rssi=-86 len=43
2026-01-23T11:23:24.011Z MSG observer=ECE853DAB734 rssi=-115 len=43
2026-01-23T11:23:24.678Z MSG observer=38090704A7AC rssi=-47 len=44
2026-01-23T11:23:25.590Z MSG observer=B41162DAB734 rssi=-2 len=44
2026-01-23T11:23:25.624Z MSG observer=ECE853DAB734 rssi=-54 len=44
2026-01-23T11:23:26.758Z MSG observer=B41162DAB734 rssi=-52 len=45
2026-01-23T11:23:28.147Z MSG observer=881A3DB0CD34 rssi=-56 len=52
2026-01-23T11:23:28.631Z MSG observer=705254DAB734 rssi=-112 len=53
2026-01-23T11:23:29.321Z MSG observer=38090704A7AC rssi=-86 len=53
2026-01-23T11:23:30.799Z MSG observer=38090704A7AC rssi=-47 len=54
2026-01-23T11:23:31.715Z MSG observer=74E23C43CA48 rssi=-114 len=45
2026-01-23T11:23:34.119Z MSG observer=ECE853DAB734 rssi=-117 len=57
2026-01-23T11:23:34.911Z MSG observer=ECE853DAB734 rssi=-54 len=58
2026-01-23T11:23:46.203Z MSG observer=74E0B643CA48 rssi=-111 len=22
2026-01-23T11:23:52.479Z MSG observer=74E23C43CA48 rssi=-113 len=119
2026-01-23T11:23:56.278Z MSG observer=ECE853DAB734 rssi=-116 len=121
2026-01-23T11:23:58.593Z MSG observer=ECE853DAB734 rssi=-54 len=122
2026-01-23T11:24:02.281Z MSG observer=705254DAB734 rssi=-114 len=123
2026-01-23T11:24:02.862Z MSG observer=74E0B643CA48 rssi=-111 len=23
2026-01-23T11:24:03.221Z MSG observer=74E0B643CA48 rssi=-110 len=24
2026-01-23T11:24:03.624Z MSG observer=74E0B643CA48 rssi=-115 len=38
2026-01-23T11:24:04.000Z MSG observer=74E0B643CA48 rssi=-34 len=24
2026-01-23T11:24:04.519Z MSG observer=AC84779E9EF0 rssi=-19 len=26
2026-01-23T11:24:04.852Z MSG observer=D0CDCCA0ED30 rssi=-119 len=26
2026-01-23T11:24:05.356Z MSG observer=D0CDCCA0ED30 rssi=-27 len=26
2026-01-23T11:24:05.642Z MSG observer=88EF779E9EF0 rssi=-40 len=28
2026-01-23T11:24:05.716Z MSG observer=74E0B643CA48 rssi=-112 len=40
2026-01-23T11:24:05.825Z MSG observer=D0CDCCA0ED30 rssi=-111 len=26
2026-01-23T11:24:06.303Z MSG observer=AC84779E9EF0 rssi=-114 len=28
2026-01-23T11:24:06.311Z MSG observer=94083E43CA48 rssi=-19 len=28
2026-01-23T11:24:06.411Z MSG observer=pad4651🧱 rssi=-49 len=28
2026-01-23T11:24:07.025Z MSG observer=ECE853DAB734 rssi=-119 len=44
2026-01-23T11:24:07.193Z MSG observer=440551DB5110 rssi=-45 len=29
2026-01-23T11:24:07.555Z MSG observer=ECE853DAB734 rssi=-54 len=45
2026-01-23T11:24:08.165Z MSG observer=94083E43CA48 rssi=-73 len=29
2026-01-23T11:24:08.460Z MSG observer=38090704A7AC rssi=-88 len=126
2026-01-23T11:24:09.645Z MSG observer=705254DAB734 rssi=-114 len=46
